;-------------------------------------------------
;0～29番,愛撫(調教者奉仕)系やソフトコマンド
;-------------------------------------------------
0,愛撫
1,舐陰
2,肛門愛撫
3,自慰
4,舐陰莖
5,胸愛撫
6,接吻
7,阴部愛撫
8,指挿入,;連続実行でＧスポット刺激へと派生
9,舐肛
10,手交
11,乳交
12,足交
13,张開阴道
14,张開菊穴
15,尿道指挿入
16,～予備～
17,～予備～
18,～予備～
19,～予備～


;-------------------------------------------------
;30～59番,道具系調教コマンド
;-------------------------------------------------
30,跳蛋
31,振動棒
33,肛用振動棒
37,飛機杯
38,～予備～
39,～予備～
40,～予備～
41,～予備～
42,～予備～
43,～予備～

;-------------------------------------------------
;60番台,セックス系コマンド
;-------------------------------------------------
60,正常位
61,後背位
62,屈曲位
63,対面座位
64,背面座位
65,騎乗位
66,挿入刺激Ｇ点
67,挿入子宮口玩弄
68,子宮挿入
69,～予備～

;-------------------------------------------------
;70番台,Ａセックス系コマンド
;-------------------------------------------------
70,肛門正常位
71,肛門後背位
72,肛門屈曲位
73,肛門対面座位
74,肛門背面座位
75,肛門騎乗位
76,～予備～
77,～予備～
78,～予備～
79,～予備～

;-------------------------------------------------
;80番台,特殊セックス系コマンド
;-------------------------------------------------
80,磨鏡
81,雙乳間抽插
82,乳头奸
83,尿道正常位
84,尿道後背位
85,尿道屈曲位
86,尿道対面座位
87,尿道背面座位
88,尿道騎乗位
89,～予備～

;-------------------------------------------------
;90～119番,奉仕系コマンド
;-------------------------------------------------
90,手淫
91,口交
92,乳交
93,素股
94,泡泡浴
95,足交
96,肛門奉仕
97,内裤冲
98,奉仕舐陰
99,六九式
100,舔足奉仕
101,～予備～
102,～予備～
103,～予備～
104,洗面奶
105,飞机杯冲
106,逆振動棒
107,逆Ａ振動棒
108,～予備～
109,～予備～


;-------------------------------------------------
;120番台,調教者セックス系コマンド
;押し倒しの時には120は逆レイプで126は逆アナル となる
;-------------------------------------------------
120,正常位奉仕
121,後背位奉仕
122,騎乗位侵犯
123,～予備～
124,～予備～
125,Ａ正常位奉仕
126,Ａ後背位奉仕
127,Ａ騎乗位侵犯
128,～予備～
129,～予備～


;-------------------------------------------------
;130～159番,SM系orハードなコマンド
;-------------------------------------------------
130,打屁股
133,眼罩
134,拘束
135,口枷
136,浣腸
138,让对方浴尿
139,什麼也不做
140,強制口交
141,拳交
142,肛門拳交
143,両穴拳交
144,放尿
145,剃毛
146,身嗜管理
147,喝套内精液
148,穿环
149,尿道导管
150,深喉
151,尿道探针
152,尿道振動棒
153,～予備～
154,～予備～
155,～予備～
156,～予備～
157,～予備～
158,写真撮影

;-------------------------------------------------
;170～199番,～プレイ等舞台作成コマンド
;-------------------------------------------------
170,攝像機
171,野外PLAY
172,浴室PLAY
173,新妻PLAY
174,室内露出PLAY
175,換装
176,被逆推
177,～予備～
178,被两人逆推
179,～予備～


;-------------------------------------------------
;200～259番,特殊能力コマンド
;-------------------------------------------------
200,具現
201,～予備～
202,～予備～
203,～予備～
204,～予備～
205,～予備～
206,～予備～
207,～予備～
208,～予備～

;-------------------------------------------------
;260～279番,消費アイテムコマンド
;-------------------------------------------------
260,潤滑液
261,媚薬
262,利尿剤
263,創口貼
264,排卵誘発剤
265,～予備～
266,～予備～
267,筋弛緩剤
268,～予備～
269,～予備～


;-------------------------------------------------
;280～299番,コミュニケーション系コマンド
;-------------------------------------------------
280,挣扎
281,顺其自然
282,自慰
283,甜言蜜语


;-------------------------------------------------
;500番台,派生コマンド(コメントアウト解除禁止)
;-------------------------------------------------


;999,口上側からの調教強制終了用
